,SP23622,SP23639,SP23739,SP23754,SP23775,SP24135,SP24236,SP24301,SP24391,SP24565,SP24702,SP24708,SP24815,SP25332,SP25350,SP25380,SP25494,SP25518,SP25833,SP25905,SP26439,SP26475,SP26499,SP26649,SP26709,SP27201,SP27339,SP27603,SP27825,SP27939,SP27957,SP28041,SP28275,SP28335,SP28581,SP28659,SP28791,SP29331,SP29559,SP29697
Sig1,0.0,0.0,582.8760759487961,21.71383793798405,0.0,425.0837862501875,0.0,0.0,0.0,0.0,0.0,201.05027062904185,54.39754757315255,55.18260098144573,22.847658470686387,0.0,254512.3094107715,8.415133946022667,126.68193934990711,99.9110497399737,0.0,34.9011280098765,99.15748064562239,0.0,168.48640598612795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.61407047404305,340.76023752721136,163.44526638283048,0.0,57.11751462990181,0.0,69.41585997372688,105.770994331019
Sig2,3943.3917163118977,6097.8006822728685,3995.554499710035,2813.2430179378484,6353.767987232501,6979.23196803349,6863.251366868234,6289.547031270917,5852.119335620114,4844.9346962771715,4129.763867587654,6605.808651562138,7264.312431408435,1187.2312081914297,6112.399778356844,6008.236475256365,0.0,8217.848104850458,3093.121681785668,3462.492069511614,1558.624930282449,3094.119945207904,2524.130925050074,5357.582036173113,2711.6060392158165,6706.788394123656,4807.607127691458,7006.045086332112,6140.544655033625,6142.5835727758185,7822.067031344247,10904.744107465951,5595.664546599277,4845.672655834067,6440.700574539201,8431.786588567938,1298.023651295551,6032.945999330493,895.4039882943507,3652.373068010074
Sig3,223.84256739892356,610.3192913999844,1459.1543640916318,208.91498139729308,5981.803191138331,478.79629670167867,0.0,315.989726749719,215.37983863411287,177.5774890789578,1841.1824909000004,0.0,164.61752886152112,415.09826224055706,0.0,981.5279641381891,0.0,171.62013967476958,761.3142580787239,348.5783337152051,3278.396651340973,580.8620644668714,542.0952058379711,0.0,908.5213043957115,0.0,110.18291929512202,311.1046998486871,1259.7673633662214,0.0,0.0,0.0,422.32747607459146,781.6983827924793,704.0934180046521,1306.9659599202446,1407.377710484233,633.2128946347646,2603.4194493394557,346.52318832381695
Sig4,902.9329481942375,414.4903176270815,545.434075482501,0.0,0.0,657.262606056926,4393.660088829088,718.5042841075724,809.5121031757459,553.233805939155,2053.8250181355897,1017.5846316440407,3820.388389505617,92.85307085739761,845.5983955808765,1153.1340700088388,0.0,2323.087412437046,2907.534191426638,2165.0628941361542,95.03577386370193,2297.050598646709,363.72345476154004,0.0,656.504118538707,196.02148883655474,337.9254067839693,1407.8057069259632,1037.0281876329234,0.0,850.3177530350968,757.1669028626225,0.0,2068.971047884175,0.0,310.94798461060077,506.74808582627145,1109.3839022190577,1382.0590567501606,67.75324215951622
